id,marka,seri,model,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,degisen_sayisi,boyali_sayisi,kimden,fiyat
11432,Suzuki,Swift,1.3 GLX,2001.0,167000.0,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1298.0,86.0,0.0,11.0,Sahibinden,312000.0
11433,Suzuki,Maruti,800,2001.0,90750.0,Düz,LPG & Benzin,Hatchback/5,Beyaz,796.0,45.0,,,Sahibinden,140000.0
11434,Suzuki,Swift,1.3 GLX,1998.0,350000.0,Düz,LPG & Benzin,Hatchback/5,Yeşil,1298.0,69.0,,,Sahibinden,167000.0
11435,Suzuki,Swift,1.3 GLX,2001.0,217000.0,Otomatik,Benzin,Hatchback/5,Lacivert,1298.0,69.0,,,Sahibinden,250000.0
11436,Suzuki,Swift,1.2 GLX,2019.0,103700.0,Otomatik,Benzin,Hatchback/5,Mavi,1300.0,88.0,0.0,0.0,Galeriden,950000.0
11437,Suzuki,Swift,1.2 GL,2022.0,66000.0,Otomatik,Hibrit,Hatchback/5,Mavi (metalik),1197.0,83.0,1.0,1.0,Sahibinden,809000.0
11438,Chevrolet,Kalos,1.2 SE,2005.0,138000.0,Düz,Benzin,Hatchback/5,Gri,1150.0,72.0,2.0,8.0,Sahibinden,339000.0
11439,Chevrolet,Cruze,1.6 LS Plus,2011.0,280000.0,Düz,LPG & Benzin,Sedan,Beyaz,1598.0,124.0,,,Sahibinden,429000.0
11440,Chevrolet,Aveo,1.4 LS,2012.0,149000.0,Düz,LPG & Benzin,Sedan,Gri,1398.0,100.0,,,Sahibinden,395000.0
11441,Chevrolet,Lacetti,1.6 SE,2006.0,241000.0,Düz,LPG & Benzin,Sedan,Şampanya,1598.0,109.0,0.0,4.0,Galeriden,298500.0
11442,Chevrolet,Lacetti,1.6 WTCC,2009.0,232000.0,Otomatik,LPG & Benzin,Sedan,Gri,1598.0,109.0,4.0,7.0,Sahibinden,405000.0
11443,Chevrolet,Aveo,1.2 LS,2009.0,180000.0,Düz,LPG & Benzin,Sedan,Kırmızı,1206.0,84.0,0.0,10.0,Galeriden,420000.0
11444,Chevrolet,Aveo,1.2 S,2010.0,191000.0,Düz,Benzin,Hatchback/5,Beyaz,1206.0,84.0,3.0,1.0,Sahibinden,340000.0
11445,Chevrolet,Cruze,1.6 LS Plus,2011.0,225000.0,Düz,LPG & Benzin,Sedan,Beyaz,1598.0,124.0,1.0,2.0,Galeriden,565000.0
11446,Chevrolet,Cruze,1.6 LS,2009.0,188000.0,Düz,LPG & Benzin,Sedan,Mavi,1598.0,113.0,0.0,1.0,Sahibinden,460000.0
11447,Chevrolet,Camaro,Z28,1976.0,150400.0,Otomatik,Benzin,Coupe,Gri,5666.0,288.0,0.0,0.0,Galeriden,2600000.0
11448,Chevrolet,Cruze,1.4 T Sport,2013.0,137500.0,Düz,Benzin,Hatchback/5,Beyaz,1364.0,140.0,0.0,3.0,Sahibinden,595000.0
