id,marka,seri,trim,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,degisen_sayisi,boyali_sayisi,kimden,fiyat,model_tam
22325,BMW,3 Serisi,320i,1993.0,339000.0,Düz,LPG & Benzin,Sedan,Siyah,1991.0,150.0,0.0,0.0,Sahibinden,220000.0,3 Serisi 320i
22326,BMW,3 Serisi,320i First Edition Sport Line,2022.0,64847.0,Otomatik,Benzin,Sedan,Siyah,1500.0,163.0,0.0,3.0,Galeriden,2910000.0,3 Serisi 320i First Edition Sport Line
22327,BMW,i Serisi,i8 Premium Techno,2015.0,61000.0,Otomatik,Benzin,Coupe,Gri,1500.0,363.0,2.0,0.0,Galeriden,4850000.0,i Serisi i8 Premium Techno
22328,BMW,3 Serisi,320i ED 40th Year Edition,2015.0,135595.0,Otomatik,Benzin,Sedan,Beyaz,1500.0,163.0,0.0,0.0,Galeriden,1715000.0,3 Serisi 320i ED 40th Year Edition
22329,BMW,1 Serisi,116i Comfort,2012.0,140000.0,Otomatik,Benzin,Hatchback/5,Beyaz,1598.0,136.0,2.0,1.0,Sahibinden,909000.0,1 Serisi 116i Comfort
22330,BMW,7 Serisi,730i Long Pure Excellence,2018.0,81000.0,Otomatik,Benzin,Sedan,Beyaz,1900.0,263.0,0.0,0.0,Galeriden,6200000.0,7 Serisi 730i Long Pure Excellence
22331,BMW,3 Serisi,320d Touring,2006.0,270000.0,Düz,Benzin,Station wagon,Füme,1995.0,163.0,0.0,0.0,Galeriden,890000.0,3 Serisi 320d Touring
22332,BMW,3 Serisi,320i ED Techno Plus,2014.0,163500.0,Otomatik,Benzin,Sedan,Beyaz,1500.0,163.0,0.0,0.0,Galeriden,1271500.0,3 Serisi 320i ED Techno Plus
22333,BMW,3 Serisi,320d Modern Line,2013.0,161500.0,Otomatik,Benzin,Sedan,Bej,1995.0,184.0,0.0,0.0,Galeriden,1395000.0,3 Serisi 320d Modern Line
22334,BMW,4 Serisi,418i Gran Coupe Prestige,2016.0,220000.0,Otomatik,Benzin,Coupe,Beyaz,1500.0,138.0,0.0,3.0,Galeriden,1350000.0,4 Serisi 418i Gran Coupe Prestige
22335,BMW,5 Serisi,525d xDrive Exclusive,2012.0,359000.0,Otomatik,Benzin,Sedan,Beyaz,1995.0,218.0,0.0,0.0,Galeriden,1475000.0,5 Serisi 525d xDrive Exclusive
22336,BMW,5 Serisi,525d xDrive Premium,2014.0,221000.0,Otomatik,Benzin,Sedan,Beyaz,1995.0,218.0,1.0,0.0,Galeriden,1520000.0,5 Serisi 525d xDrive Premium
22337,BMW,3 Serisi,318Ci,2003.0,294000.0,Otomatik,Benzin,Cabrio,Gri,1900.0,138.0,2.0,8.0,Galeriden,895000.0,3 Serisi 318Ci
22338,BMW,3 Serisi,316i M Sport,2014.0,152000.0,Otomatik,Benzin,Sedan,Beyaz,1500.0,138.0,,,Galeriden,1250000.0,3 Serisi 316i M Sport
22339,BMW,3 Serisi,320i First Edition M Sport,2020.0,79000.0,Otomatik,Benzin,Sedan,Beyaz,1597.0,170.0,0.0,0.0,Sahibinden,2600000.0,3 Serisi 320i First Edition M Sport
22340,BMW,3 Serisi,320d xDrive M Sport,2016.0,270000.0,Otomatik,Benzin,Sedan,Beyaz,1995.0,190.0,0.0,1.0,Galeriden,1225000.0,3 Serisi 320d xDrive M Sport
22341,BMW,3 Serisi,320i ED 40th Year Edition,2016.0,184000.0,Otomatik,LPG & Benzin,Sedan,Beyaz,1598.0,170.0,,,Galeriden,1595000.0,3 Serisi 320i ED 40th Year Edition
22342,BMW,3 Serisi,320i ED M Plus,2014.0,238000.0,Otomatik,Benzin,Sedan,Beyaz,1598.0,170.0,,,Galeriden,1225000.0,3 Serisi 320i ED M Plus
22343,BMW,3 Serisi,320i M Sport,2020.0,136640.0,Otomatik,Benzin,Sedan,Beyaz,1500.0,163.0,0.0,7.0,Galeriden,2189000.0,3 Serisi 320i M Sport
22344,BMW,5 Serisi,535d xDrive M Sport,2012.0,290000.0,Otomatik,Benzin,Sedan,Gri,2993.0,313.0,0.0,0.0,Galeriden,2199900.0,5 Serisi 535d xDrive M Sport
22345,BMW,3 Serisi,320i ED Modern Line,2013.0,260000.0,Otomatik,Benzin,Sedan,Beyaz,1598.0,170.0,0.0,0.0,Sahibinden,1350000.0,3 Serisi 320i ED Modern Line
22346,BMW,i Serisi,i5 eDrive30 M Sport,2023.0,37500.0,Otomatik,Elektrik,Sedan,Siyah,,218.0,0.0,0.0,Sahibinden,3853000.0,i Serisi i5 eDrive30 M Sport
22347,BMW,5 Serisi,520i Executive M Sport,2017.0,233000.0,Otomatik,Benzin,Sedan,Beyaz,1500.0,163.0,0.0,0.0,Galeriden,2170000.0,5 Serisi 520i Executive M Sport
22348,BMW,3 Serisi,316i M Sport,2012.0,220000.0,Otomatik,Benzin,Sedan,Siyah,1500.0,138.0,1.0,3.0,Galeriden,1028000.0,3 Serisi 316i M Sport
22349,BMW,i Serisi,i5 eDrive30 M Sport,2023.0,37500.0,Otomatik,Elektrik,Sedan,Siyah,,218.0,,,Sahibinden,3855000.0,i Serisi i5 eDrive30 M Sport
22350,BMW,3 Serisi,320i Premium,2005.0,360000.0,Otomatik,LPG & Benzin,Sedan,Siyah,1995.0,150.0,0.0,12.0,Sahibinden,700000.0,3 Serisi 320i Premium
22351,BMW,3 Serisi,320i ED Sport Line,2015.0,128000.0,Otomatik,Benzin,Sedan,Siyah,1500.0,163.0,0.0,7.0,Galeriden,1420000.0,3 Serisi 320i ED Sport Line
22352,BMW,5 Serisi,520d M Sport,2011.0,370000.0,Otomatik,Benzin,Sedan,Beyaz,1995.0,184.0,,,Galeriden,1215950.0,5 Serisi 520d M Sport
22353,BMW,5 Serisi,520i Executive Plus,2016.0,181000.0,Otomatik,Benzin,Sedan,Siyah,1500.0,163.0,0.0,0.0,Galeriden,1750000.0,5 Serisi 520i Executive Plus
22354,BMW,5 Serisi,520i Executive Luxury Line,2016.0,172000.0,Otomatik,Benzin,Sedan,Gri,1592.0,170.0,,,Galeriden,1760000.0,5 Serisi 520i Executive Luxury Line
22355,BMW,5 Serisi,520i Standart,1994.0,578000.0,Düz,LPG & Benzin,Sedan,Füme,1991.0,150.0,,,Galeriden,350000.0,5 Serisi 520i Standart
22356,BMW,1 Serisi,118i Joy Plus,2015.0,184000.0,Otomatik,Benzin,Hatchback/5,Kırmızı,1500.0,138.0,0.0,0.0,Galeriden,1135000.0,1 Serisi 118i Joy Plus
22357,BMW,3 Serisi,320i ED Sport Line,2013.0,243000.0,Otomatik,Benzin,Sedan,Beyaz,1598.0,170.0,,,Sahibinden,1265000.0,3 Serisi 320i ED Sport Line
22358,BMW,3 Serisi,316,1985.0,200000.0,Düz,LPG & Benzin,Sedan,Beyaz,1766.0,90.0,,,Sahibinden,200000.0,3 Serisi 316
22359,BMW,5 Serisi,525d xDrive M Sport,2013.0,168000.0,Otomatik,Benzin,Sedan,Beyaz,1995.0,218.0,0.0,2.0,Galeriden,1935000.0,5 Serisi 525d xDrive M Sport
22360,BMW,5 Serisi,520i M Sport,2014.0,143000.0,Otomatik,Benzin,Sedan,Beyaz,1500.0,163.0,0.0,0.0,Galeriden,1675000.0,5 Serisi 520i M Sport
22361,BMW,5 Serisi,520i Standart,1992.0,380000.0,Düz,Benzin,Sedan,Füme,1991.0,150.0,0.0,0.0,Galeriden,325000.0,5 Serisi 520i Standart
22362,Opel,Astra,1.4 GL,1996.0,292000.0,Düz,Benzin,Hatchback/5,Kırmızı,1388.0,90.0,0.0,0.0,Galeriden,249500.0,Astra 1.4 GL
22363,BMW,3 Serisi,320i M Sport,2020.0,110000.0,Otomatik,Benzin,Sedan,Siyah,1500.0,163.0,0.0,0.0,Galeriden,2450000.0,3 Serisi 320i M Sport
22364,Opel,Astra,1.6 Enjoy 111.Yıl,2011.0,196000.0,Yarı Otomatik,LPG & Benzin,Sedan,Füme,1598.0,115.0,2.0,1.0,Sahibinden,550000.0,Astra 1.6 Enjoy 111.Yıl
22365,Opel,Astra,1.2 T GS Line,2023.0,31500.0,Otomatik,Benzin,Hatchback/5,Altın,,,0.0,0.0,Sahibinden,1550000.0,Astra 1.2 T GS Line
22366,Opel,Astra,1.6 CDTI Sport,2015.0,120000.0,Düz,Dizel,Sedan,Lacivert,1598.0,136.0,0.0,0.0,Sahibinden,898000.0,Astra 1.6 CDTI Sport
22367,Opel,Vectra,2.0 CD,1997.0,315500.0,Düz,LPG & Benzin,Sedan,Beyaz,1998.0,136.0,,,Sahibinden,240000.0,Vectra 2.0 CD
22368,Opel,Astra,1.6 CDTI Design,2017.0,205000.0,Otomatik,Benzin,Sedan,Beyaz,1598.0,136.0,,,Galeriden,765000.0,Astra 1.6 CDTI Design
22369,Opel,Astra,1.3 CDTI Edition,2014.0,330000.0,Düz,Benzin,Sedan,Beyaz,1248.0,95.0,1.0,0.0,Galeriden,530000.0,Astra 1.3 CDTI Edition
22370,Opel,Astra,1.4 GL,2000.0,278000.0,Düz,LPG & Benzin,Sedan,Gri (metalik),1388.0,90.0,,,Sahibinden,346000.0,Astra 1.4 GL
22371,Opel,Astra,1.6 Enjoy,2009.0,164500.0,Düz,Benzin,Hatchback/5,Mavi,1598.0,115.0,1.0,2.0,Galeriden,440000.0,Astra 1.6 Enjoy
22372,Opel,Astra,1.6 Sport,2013.0,272000.0,Otomatik,Benzin,Hatchback/5,Beyaz,1598.0,115.0,0.0,0.0,Galeriden,549900.0,Astra 1.6 Sport
22373,Opel,Insignia,1.6 CDTI Grand Sport Enjoy,2017.0,208000.0,Otomatik,Dizel,Hatchback/5,Beyaz,1598.0,136.0,1.0,4.0,Sahibinden,965000.0,Insignia 1.6 CDTI Grand Sport Enjoy
22374,Opel,Astra,1.6 Enjoy,2010.0,156000.0,Otomatik,Benzin,Hatchback/5,Gri,1598.0,115.0,0.0,0.0,Galeriden,670000.0,Astra 1.6 Enjoy
