marka,model_tam,yil,km,fiyat,renk,sehir,ilce,satici_tipi,seri,trim
BMW,5 Serisi 520i Standart,2005,253.0,898.750 TL,Siyah,Kocaeli,Körfez,Galeriden,5 Serisi,520i Standart
BMW,5 Serisi 520i M Sport,2022,112.0,3.529.000 TL,Siyah,İstanbul,Esenyurt,Galeriden,5 Serisi,520i M Sport
BMW,5 Serisi 520i Sport Line,2018,206.0,2.545.000 TL,Beyaz,İzmir,Foça,Sahibinden,5 Serisi,520i Sport Line
BMW,3 Serisi 320d Modern Line,2014,254.0,1.135.000 TL,Gri,Kayseri,Kocasinan,Galeriden,3 Serisi,320d Modern Line
BMW,3 Serisi 320i First Edition M Sport,2020,167.0,2.640.000 TL,Mavi,İstanbul,Avcılar,Sahibinden,3 Serisi,320i First Edition M Sport
BMW,5 Serisi 520i Sport,2014,183.0,1.325.000 TL,Beyaz,Ankara,Çankaya,Sahibinden,5 Serisi,520i Sport
BMW,1 Serisi 116i Sport Line,2012,209.0,915.000 TL,Beyaz,İstanbul,Bağcılar,Galeriden,1 Serisi,116i Sport Line
BMW,5 Serisi 520i M Sport,2023,113.469,3.799.000 TL,Gri,İstanbul,Küçükçekmece,Galeriden,5 Serisi,520i M Sport
BMW,3 Serisi 320d Sport,2012,401.7,995.000 TL,Siyah,İzmir,Karabağlar,Sahibinden,3 Serisi,320d Sport
BMW,5 Serisi 520i Executive M Sport,2016,112.0,2.485.000 TL,Siyah,Mersin,Toroslar,Galeriden,5 Serisi,520i Executive M Sport
BMW,5 Serisi 520i Executive M Sport,2015,165.0,2.535.000 TL,Siyah,Mersin,Toroslar,Galeriden,5 Serisi,520i Executive M Sport
BMW,M Serisi M3 Competition,2022,22.0,12.750.000 TL,Siyah,İzmir,Konak,Sahibinden,M Serisi,M3 Competition
BMW,5 Serisi 520i Standart,1996,296.0,410.000 TL,Siyah,İstanbul,Ataşehir,Sahibinden,5 Serisi,520i Standart
BMW,5 Serisi 520i M Sport,2022,92.0,3.420.000 TL,Mavi,İstanbul,Ümraniye,Galeriden,5 Serisi,520i M Sport
BMW,3 Serisi 320i First Edition M Sport,2019,149.0,2.840.000 TL,Beyaz,Bursa,Nilüfer,Sahibinden,3 Serisi,320i First Edition M Sport
BMW,5 Serisi 520i Premium,2014,236.0,1.399.000 TL,Füme,İstanbul,Bağcılar,Sahibinden,5 Serisi,520i Premium
BMW,3 Serisi 320i ED Sport Plus,2016,168.0,1.590.000 TL,Lacivert,İstanbul,Bağcılar,Galeriden,3 Serisi,320i ED Sport Plus
BMW,5 Serisi 520i Executive M Sport,2017,164.0,2.190.000 TL,Lacivert,Şanlıurfa,Siverek,Galeriden,5 Serisi,520i Executive M Sport
BMW,2 Serisi 216d Gran Coupe M Sport,2022,49.0,2.325.000 TL,Kırmızı,İstanbul,Kadıköy,Galeriden,2 Serisi,216d Gran Coupe M Sport
BMW,5 Serisi 520d M Sport,2010,368.0,960.000 TL,Siyah,Kocaeli,Körfez,Galeriden,5 Serisi,520d M Sport
BMW,5 Serisi 520i Executive Luxury Line,2013,255.0,1.525.000 TL,Beyaz,İstanbul,Ümraniye,Galeriden,5 Serisi,520i Executive Luxury Line
BMW,5 Serisi 520d M Sport,2011,372.0,1.399.000 TL,Beyaz,Samsun,Atakum,Galeriden,5 Serisi,520d M Sport
BMW,3 Serisi 320i M Sport,2022,60.0,3.825.000 TL,Mavi,Kayseri,Melikgazi,Sahibinden,3 Serisi,320i M Sport
BMW,3 Serisi 320d Edition Comfort,2011,249.0,630.000 TL,Beyaz,Hatay,Arsuz,Galeriden,3 Serisi,320d Edition Comfort
BMW,M Serisi M4 Competition,2021,67.521,11.250.000 TL,Siyah,İstanbul,Beşiktaş,Galeriden,M Serisi,M4 Competition
BMW,Z Serisi Z4 23i sDrive,2010,162.0,2.380.000 TL,Beyaz,İzmir,Buca,Sahibinden,Z Serisi,Z4 23i sDrive
BMW,3 Serisi 320i First Edition M Sport,2020,84.0,2.935.000 TL,Beyaz,Adıyaman,Merkez,Galeriden,3 Serisi,320i First Edition M Sport
BMW,5 Serisi 520d M Sport,2007,460.0,775.000 TL,Gri,Ankara,Mamak,Sahibinden,5 Serisi,520d M Sport
BMW,5 Serisi 525d xDrive Executive M Sport,2013,299.5,1.359.000 TL,Beyaz,İstanbul,Eyüpsultan,Galeriden,5 Serisi,525d xDrive Executive M Sport
BMW,3 Serisi 316i Comfort,2012,199.689,919.000 TL,Beyaz,İstanbul,Bahçelievler,Galeriden,3 Serisi,316i Comfort
BMW,6 Serisi 640i,2012,141.041,3.689.000 TL,Gri,İstanbul,Küçükçekmece,Galeriden,6 Serisi,640i
BMW,5 Serisi 525d xDrive M Sport,2013,307.0,1.675.000 TL,Beyaz,Ankara,Çankaya,Sahibinden,5 Serisi,525d xDrive M Sport
BMW,5 Serisi 520i M Sport,2018,189.0,2.390.000 TL,Beyaz,İstanbul,Küçükçekmece,Sahibinden,5 Serisi,520i M Sport
BMW,5 Serisi 520i Standart,1998,402.5,515.000 TL,Mavi,İzmir,Buca,Galeriden,5 Serisi,520i Standart
BMW,2 Serisi 216d Gran Coupe M Sport,2022,81.9,2.216.000 TL,Füme,İstanbul,Avcılar,Galeriden,2 Serisi,216d Gran Coupe M Sport
