konum,fiyat,marka,seri,trim,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,motor_hacmi,motor_gucu,cekis,ortalama_yakit_tuketimi,yakit_deposu,tramer,degisen,boyali,model_tam
 Adana,292500.0,Hyundai,Accent,1.5 GLS,2001,253000.0,Düz,LPG & Benzin,Hatchback/5,1495.0,102.0,Önden Çekiş,6.9,45.0,800.0,0,0,Accent 1.5 GLS
 Adana,210000.0,Opel,Corsa,1.4 GLS,1997,288968.0,Düz,LPG & Benzin,Hatchback/5,1389.0,90.0,Önden Çekiş,7.4,42.0,0.0,0,0,Corsa 1.4 GLS
 Adana,225000.0,Ford,Fiesta,1.25 Flair,1998,270000.0,Düz,LPG & Benzin,Hatchback/5,1242.0,75.0,Önden Çekiş,7.1,42.0,0.0,0,0,Fiesta 1.25 Flair
 Adana,650000.0,Volkswagen,Passat,2.0 TDi Highline,2007,270000.0,Düz,Dizel,Sedan,1968.0,140.0,Önden Çekiş,5.8,70.0,0.0,4,6,Passat 2.0 TDi Highline
 Adana,485000.0,Renault,Megane,1.5 dCi Privilege,2008,255500.0,Otomatik,Dizel,Sedan,1461.0,100.0,Önden Çekiş,4.9,60.0,0.0,0,0,Megane 1.5 dCi Privilege
 Adana,750000.0,Opel,Astra,1.6 Edition,2015,118000.0,Düz,LPG & Benzin,Sedan,1598.0,115.0,Önden Çekiş,6.5,56.0,38400.0,0,3,Astra 1.6 Edition
 Adana,880000.0,Toyota,Corolla,1.6 Touch,2014,228200.0,Düz,LPG & Benzin,Sedan,1598.0,132.0,Önden Çekiş,6.3,55.0,0.0,0,0,Corolla 1.6 Touch
 Adana,190000.0,Hyundai,Accent,1.5 CRDi Admire,2005,247000.0,Düz,Dizel,Sedan,1493.0,82.0,Önden Çekiş,5.5,45.0,0.0,0,0,Accent 1.5 CRDi Admire
 Adana,780000.0,Fiat,Egea,1.6 Multijet Lounge,2016,198000.0,Düz,Dizel,Sedan,1598.0,120.0,Önden Çekiş,4.2,45.0,0.0,0,0,Egea 1.6 Multijet Lounge
 Adana,418000.0,Renault,Clio,1.6 Dynamique,2002,294000.0,Düz,LPG & Benzin,Hatchback/5,1598.0,107.0,Önden Çekiş,7.2,50.0,0.0,0,0,Clio 1.6 Dynamique
 Adana,565000.0,Renault,Clio,1.5 dCi Joy,2015,124000.0,Düz,Dizel,Hatchback/5,1461.0,75.0,Önden Çekiş,3.6,45.0,0.0,0,5,Clio 1.5 dCi Joy
 Adana,440000.0,Ford,Focus,1.6 Ghia,2004,271000.0,Düz,LPG & Benzin,Hatchback/5,1596.0,100.0,Önden Çekiş,6.8,55.0,0.0,1,4,Focus 1.6 Ghia
 Adana,287000.0,Tata,Manza,Aura 1.4 Safire,2012,125000.0,Düz,LPG & Benzin,Sedan,1368.0,90.0,Önden Çekiş,6.4,44.0,0.0,0,2,Manza Aura 1.4 Safire
 Adana,385000.0,Ford,Focus,1.6 Ghia,2003,310000.0,Düz,LPG & Benzin,Sedan,1596.0,100.0,Önden Çekiş,6.8,55.0,0.0,1,7,Focus 1.6 Ghia
 Adana,420000.0,Renault,Clio,1.5 dCi Authentique,2008,263000.0,Düz,Dizel,Hatchback/5,1461.0,80.0,Önden Çekiş,4.8,55.0,0.0,2,0,Clio 1.5 dCi Authentique
 Adana,980000.0,BMW,1 Serisi,116d ED EfficientDynamics,2014,180000.0,Düz,Dizel,Hatchback/5,1598.0,116.0,Arkadan İtiş,3.8,52.0,0.0,0,0,1 Serisi 116d ED EfficientDynamics
 Adana,1080000.0,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2013,182500.0,Yarı Otomatik,Dizel,Hatchback/5,1598.0,105.0,Önden Çekiş,3.9,50.0,0.0,0,0,Golf 1.6 TDi BlueMotion Comfortline
 Adana,510000.0,Peugeot,301,1.6 HDi Active,2014,200000.0,Düz,Dizel,Sedan,1560.0,93.0,Önden Çekiş,4.3,50.0,0.0,0,1,301 1.6 HDi Active
 Adana,420000.0,Ford,C-Max,1.6 Trend,2006,282000.0,Düz,LPG & Benzin,MPV,1596.0,115.0,Önden Çekiş,6.6,55.0,0.0,0,0,C-Max 1.6 Trend
 Adana,660000.0,Hyundai,i20,1.2 MPI Jump,2017,225000.0,Düz,LPG & Benzin,Hatchback/5,1248.0,84.0,Önden Çekiş,5.1,50.0,0.0,1,1,i20 1.2 MPI Jump
 Adana,295000.0,Daihatsu,Cuore,1.0 High Grade,2005,290000.0,Düz,Benzin,Hatchback/5,989.0,58.0,Önden Çekiş,4.4,36.0,0.0,0,0,Cuore 1.0 High Grade
 Adana,1340000.0,Renault,Megane,1.5 Blue DCI Touch,2021,117500.0,Otomatik,Dizel,Sedan,1401.0,101.0,Önden Çekiş,4.1,49.0,5970.0,0,2,Megane 1.5 Blue DCI Touch
 Adana,257000.0,Peugeot,206,2.0 GTI,2000,245000.0,Düz,Benzin,Hatchback/3,1801.0,126.0,Önden Çekiş,7.9,50.0,0.0,3,3,206 2.0 GTI
 Adana,539000.0,Opel,Corsa,1.2 Twinport Essentia,2012,158000.0,Otomatik,Benzin,Hatchback/5,1201.0,76.0,Önden Çekiş,5.1,45.0,3500.0,1,4,Corsa 1.2 Twinport Essentia
 Adana,749000.0,Renault,Megane,1.5 dCi Play,2013,174000.0,Otomatik,Dizel,Hatchback/5,1401.0,101.0,Önden Çekiş,4.4,60.0,0.0,0,0,Megane 1.5 dCi Play
 Adana,359900.0,Renault,Megane,1.5 dCi Authentique,2006,237000.0,Düz,Dizel,Hatchback/5,1401.0,76.0,Önden Çekiş,4.6,60.0,0.0,2,1,Megane 1.5 dCi Authentique
 Adana,619900.0,Opel,Astra,1.4 T Enjoy Plus,2013,204000.0,Düz,Benzin,Hatchback/5,1201.0,126.0,Önden Çekiş,7.0,56.0,0.0,2,2,Astra 1.4 T Enjoy Plus
 Adana,750000.0,Opel,Astra,1.4 T Enjoy Active,2015,159000.0,Düz,Benzin,Hatchback/5,1364.0,140.0,Önden Çekiş,5.9,56.0,0.0,0,1,Astra 1.4 T Enjoy Active
 Adana,600000.0,Renault,Fluence,1.6 Extreme,2011,157000.0,Düz,Benzin,Sedan,1598.0,110.0,Önden Çekiş,6.5,60.0,3700.0,3,1,Fluence 1.6 Extreme
 Adana,1080000.0,Renault,Clio,1.0 TCe Touch,2021,20204.0,Otomatik,Benzin,Hatchback/5,1200.0,76.0,Önden Çekiş,5.0,42.0,4357.0,0,0,Clio 1.0 TCe Touch
 Adana,963750.0,Mercedes-Benz,C,C 180 BlueEFFICIENCY Avantgarde,2011,325000.0,Otomatik,Benzin,Sedan,1796.0,156.0,Arkadan İtiş,6.7,67.0,0.0,0,0,C C 180 BlueEFFICIENCY Avantgarde
 Adana,1295000.0,Renault,Clio,1.0 TCe Techno Esprit Alpine,2024,8300.0,Otomatik,Benzin,Hatchback/5,1200.0,76.0,Önden Çekiş,6.0,42.0,0.0,0,0,Clio 1.0 TCe Techno Esprit Alpine
 Adana,1445000.0,Renault,Clio,1.0 TCe Techno Esprit Alpine,2025,6050.0,Otomatik,Benzin,Hatchback/5,1200.0,76.0,Önden Çekiş,6.0,42.0,0.0,0,0,Clio 1.0 TCe Techno Esprit Alpine
 Adana,925000.0,Renault,Clio,1.0 TCe Joy,2022,83000.0,Otomatik,Benzin,Hatchback/5,1200.0,76.0,Önden Çekiş,4.3,42.0,0.0,1,1,Clio 1.0 TCe Joy
 Adana,349999.0,Peugeot,207,1.4 HDi Premium,2006,202000.0,Düz,Dizel,Hatchback/5,1398.0,71.0,Önden Çekiş,4.5,50.0,0.0,1,8,207 1.4 HDi Premium
 Adana,525000.0,Peugeot,207,1.4 Envy,2011,82000.0,Otomatik,Benzin,Hatchback/5,1201.0,76.0,Önden Çekiş,6.3,50.0,0.0,1,4,207 1.4 Envy
